dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2
Gd_ctopo_fp_cmplx,all,none,"['resample', 'isolation_forest_reg', 'ransac_lin_reg', 'ridge']",4,,train_test,3.7514166665947557,2.954855009229709,0.2745855843087137
Gd_ctopo_fp_cmplx_da,all,none,['svr'],1,,train_test,3.7803283197390267,3.0078119605775413,0.2633611591972326
Gd_ctopo_fp_cmplx_da_bonds,all,none,"['lgbmreg', 'pca', 'ransac_non_lin_reg', 'linear']",3,,train_test,3.7925831828591448,3.131402412096099,0.25857742631528247
Gd_ctopo_fp_cmplx_da_sub,all,none,['ridge'],1,,train_test,3.6309629159112236,2.9255414420243144,0.3204221714646258
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,['ridge'],1,,train_test,3.5698219278680705,2.9261761132572612,0.34311600484770033
Gd_ctopo_fp_cmplx_full,all,none,"['resample', 'normalization', 'sgdr', 'poly_features', 'fast_ica', 'lasso']",6,,train_test,3.6977451499176097,2.870305603057077,0.29519410654273515
Gd_ctopo_fp_ligand,all,none,"['lgbmreg', 'isolation_forest_reg', 'svr']",2,,train_test,3.8272526134528984,3.1352436259095438,0.24496022380366045
Gd_ctopo_fp_skl,all,none,['ridge'],1,,train_test,3.739803348408386,3.0081081089168964,0.2790699854274492
Gd_ctopo_fp_skl_da,all,none,"['resample', 'poly_features', 'ransac_lin_reg', 'sgdr', 'ridge']",5,,train_test,3.952953729223585,3.012710712853703,0.19454916459936855
Gd_ctopo_fp_skl_da_bonds,all,none,['ridge'],1,,train_test,3.934744488880373,3.144820885151447,0.20195267497071479
Gd_ctopo_fp_skl_da_skl,all,none,"['poly_features', 'ridge']",2,,train_test,3.829146279280523,3.03975534625583,0.244212874784957
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['resample', 'ridge', 'pca', 'normalization']",5,,train_test,3.7912605633728846,3.063326790330961,0.2590944612259536
Gd_ctopo_fp_topo,all,none,"['resample', 'ridge', 'poly_features', 'normalization', 'fast_ica', 'rfr']",6,,train_test,4.409081752745388,3.713324494230059,0.0
Gd_ctopo_fp_topo_da,all,none,"['resample', 'isolation_forest_reg', 'ransac_lin_reg', 'sgdr']",4,,train_test,4.019183014663401,3.203297303425512,0.16733340979934097
