dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
Gd_ctopo_fp_cmplx,all,none,"['resample', 'isolation_forest_reg', 'ransac_lin_reg', 'ridge']",4,,train_test,3.7514166665947557,2.954855009229709,0.2745855843087137,3.5733529544546303,2.8586445585289186,0.34181587165789973
Gd_ctopo_fp_cmplx_da,all,none,['svr'],1,,train_test,3.7803283197390267,3.0078119605775413,0.2633611591972326,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da_bonds,all,none,"['lgbmreg', 'pca', 'ransac_non_lin_reg', 'linear']",3,,train_test,3.7925831828591448,3.131402412096099,0.25857742631528247,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_sub,all,none,['ridge'],1,,train_test,3.6309629159112236,2.9255414420243144,0.3204221714646258,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,['ridge'],1,,train_test,3.5698219278680705,2.9261761132572612,0.34311600484770033,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_full,all,none,"['resample', 'normalization', 'sgdr', 'poly_features', 'fast_ica', 'lasso']",6,,train_test,3.6977451499176097,2.870305603057077,0.29519410654273515,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_ligand,all,none,"['lgbmreg', 'isolation_forest_reg', 'svr']",2,,train_test,3.8272526134528984,3.1352436259095438,0.24496022380366045,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_skl,all,none,['ridge'],1,,train_test,3.739803348408386,3.0081081089168964,0.2790699854274492,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl_da,all,none,"['resample', 'poly_features', 'ransac_lin_reg', 'sgdr', 'ridge']",5,,train_test,3.952953729223585,3.012710712853703,0.19454916459936855,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da_bonds,all,none,['ridge'],1,,train_test,3.934744488880373,3.144820885151447,0.20195267497071479,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_skl,all,none,"['poly_features', 'ridge']",2,,train_test,3.829146279280523,3.03975534625583,0.244212874784957,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['resample', 'ridge', 'pca', 'normalization']",5,,train_test,3.7912605633728846,3.063326790330961,0.2590944612259536,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_topo,all,none,"['resample', 'ridge', 'poly_features', 'normalization', 'fast_ica', 'rfr']",6,,train_test,4.409081752745388,3.713324494230059,0.0,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo_da,all,none,"['resample', 'isolation_forest_reg', 'ransac_lin_reg', 'sgdr']",4,,train_test,4.019183014663401,3.203297303425512,0.16733340979934097,3.9861550363187725,3.176375326027254,0.18096219798716318
